round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
40,1,0,0.247320,0.003906,0.117711,0.066509,0.424087,0.066552,0.087434,0.125740,7.2,4.9
40,2,0,0.039080,0.003906,0.110790,0.051337,0.332436,0.025086,0.089504,0.102526,2.9,0.8
40,3,0,0.724847,0.003906,0.199644,0.166157,0.935784,0.244072,0.078817,0.256590,28.1,26.6
40,4,0,0.368557,0.003906,0.143500,0.084041,0.744066,0.122250,0.083973,0.189131,11.6,9.0
40,5,0,0.268096,0.003906,0.132826,0.070350,0.521577,0.091318,0.080691,0.145644,7.8,4.6
40,6,0,0.150631,0.003906,0.123255,0.061984,0.407182,0.064902,0.093382,0.124531,5.5,2.3
40,7,0,0.568517,0.003906,0.170674,0.119740,0.894954,0.185561,0.084806,0.231635,19.5,17.8
40,8,0,0.168080,0.003906,0.115369,0.054097,0.316988,0.039644,0.078978,0.100777,5.2,1.8
40,9,0,0.311360,0.003906,0.120116,0.067776,0.563857,0.071243,0.082317,0.147258,6.4,4.8
40,10,1,0.490499,0.003906,0.119445,0.074721,0.712813,0.083057,0.070773,0.170043,10.6,9.6
40,11,1,0.199080,0.003906,0.131007,0.077262,0.558987,0.097744,0.079305,0.152810,8.5,6.1
40,12,1,0.612538,0.003906,0.205600,0.169029,0.885630,0.247700,0.067478,0.247847,33.0,31.5
40,13,1,0.080769,0.003906,0.112171,0.054927,0.204246,0.035463,0.082567,0.083316,3.9,1.3
40,14,1,0.448982,0.003906,0.144829,0.096611,0.777447,0.140972,0.074119,0.196713,14.0,11.8
40,15,1,0.251850,0.003906,0.117605,0.062224,0.400037,0.056746,0.071659,0.115881,5.3,3.3
40,16,1,0.071009,0.003906,0.110693,0.050484,0.165850,0.024692,0.077447,0.073573,4.1,0.8
40,17,1,0.225512,0.003906,0.119035,0.069627,0.456178,0.071015,0.076298,0.129208,5.8,4.4
40,18,1,0.023145,0.003906,0.107228,0.050627,0.162576,0.017404,0.079356,0.071954,4.5,0.8
40,19,1,0.378901,0.003906,0.155204,0.099420,0.751510,0.151488,0.076849,0.196964,12.1,9.5
40,20,2,0.154859,0.003906,0.118617,0.059096,0.367063,0.053608,0.112386,0.120327,5.4,2.9
40,21,2,0.496025,0.003906,0.213072,0.159835,0.851496,0.246428,0.105039,0.251638,35.3,30.0
40,22,2,0.753268,0.003906,0.141120,0.098462,0.792361,0.138729,0.056707,0.193986,11.6,11.1
40,23,2,0.075313,0.003906,0.117721,0.056005,0.240169,0.045191,0.056907,0.084810,5.3,1.3
40,24,2,0.346724,0.003906,0.131728,0.080139,0.598235,0.103335,0.109883,0.168006,9.4,7.5
40,25,2,0.118530,0.003906,0.109818,0.051810,0.284678,0.026021,0.109838,0.100386,3.6,1.1
