round,query,prec10
285,cat,1.0
285,dog,1.0
285,plane,1.0
285,clothes,1.0
285,car,1.0
286,cat,1.0
286,dog,1.0
286,plane,1.0
286,clothes,1.0
286,car,1.0
287,cat,1.0
287,dog,1.0
287,plane,1.0
287,clothes,1.0
287,car,1.0
288,cat,1.0
288,dog,1.0
288,plane,1.0
288,clothes,1.0
288,car,1.0
289,cat,1.0
289,dog,1.0
289,plane,1.0
289,clothes,1.0
289,car,1.0
290,cat,1.0
290,dog,1.0
290,plane,1.0
290,clothes,1.0
290,car,1.0
291,cat,1.0
291,dog,1.0
291,plane,1.0
291,clothes,1.0
291,car,1.0
292,cat,1.0
292,dog,1.0
292,plane,1.0
292,clothes,1.0
292,car,1.0
293,cat,1.0
293,dog,1.0
293,plane,1.0
293,clothes,1.0
293,car,1.0
294,cat,1.0
294,dog,1.0
294,plane,1.0
294,clothes,1.0
294,car,1.0
295,cat,1.0
295,dog,1.0
295,plane,1.0
295,clothes,1.0
295,car,1.0
296,cat,1.0
296,dog,1.0
296,plane,1.0
296,clothes,1.0
296,car,1.0
297,cat,1.0
297,dog,1.0
297,plane,1.0
297,clothes,1.0
297,car,1.0
298,cat,1.0
298,dog,1.0
298,plane,1.0
298,clothes,1.0
298,car,1.0
299,cat,1.0
299,dog,1.0
299,plane,1.0
299,clothes,1.0
299,car,1.0
300,cat,1.0
300,dog,1.0
300,plane,1.0
300,clothes,1.0
300,car,1.0
301,cat,1.0
301,dog,1.0
301,plane,1.0
301,clothes,1.0
301,car,1.0
302,cat,1.0
302,dog,1.0
302,plane,1.0
302,clothes,1.0
302,car,1.0
303,cat,1.0
303,dog,1.0
303,plane,1.0
303,clothes,1.0
303,car,1.0
304,cat,1.0
304,dog,1.0
304,plane,1.0
304,clothes,1.0
304,car,1.0
305,cat,1.0
305,dog,1.0
305,plane,1.0
305,clothes,1.0
305,car,1.0
306,cat,1.0
306,dog,1.0
306,plane,1.0
306,clothes,1.0
306,car,1.0
307,cat,1.0
307,dog,1.0
307,plane,1.0
307,clothes,1.0
307,car,1.0
308,cat,1.0
308,dog,1.0
308,plane,1.0
308,clothes,1.0
308,car,1.0
309,cat,1.0
309,dog,1.0
309,plane,1.0
309,clothes,1.0
309,car,1.0
310,cat,1.0
310,dog,1.0
310,plane,1.0
310,clothes,1.0
310,car,1.0
311,cat,1.0
