round,query,prec10
182,dog,0.8
182,plane,0.7
182,clothes,0.9
182,car,0.8
183,cat,0.7
183,dog,0.8
183,plane,0.7
183,clothes,0.9
183,car,0.8
184,cat,0.7
184,dog,0.8
184,plane,0.7
184,clothes,0.9
184,car,0.8
185,cat,0.7
185,dog,0.8
185,plane,0.7
185,clothes,0.9
185,car,0.8
186,cat,0.7
186,dog,0.8
186,plane,0.7
186,clothes,0.9
186,car,0.8
187,cat,0.7
187,dog,0.8
187,plane,0.7
187,clothes,0.9
187,car,0.8
188,cat,0.7
188,dog,0.8
188,plane,0.7
188,clothes,0.9
188,car,0.8
189,cat,0.7
189,dog,0.8
189,plane,0.7
189,clothes,0.9
189,car,0.8
190,cat,0.7
190,dog,0.8
190,plane,0.7
190,clothes,0.9
190,car,0.8
191,cat,0.7
191,dog,0.8
191,plane,0.7
191,clothes,0.9
191,car,0.8
192,cat,0.7
192,dog,0.8
192,plane,0.7
192,clothes,0.9
192,car,0.8
193,cat,0.7
193,dog,0.8
193,plane,0.7
193,clothes,0.9
193,car,0.8
194,cat,0.7
194,dog,0.8
194,plane,0.7
194,clothes,0.9
194,car,0.8
195,cat,0.7
195,dog,0.8
195,plane,0.7
195,clothes,0.9
195,car,0.8
196,cat,0.7
196,dog,0.8
196,plane,0.7
196,clothes,0.9
196,car,0.8
197,cat,0.7
197,dog,0.8
197,plane,0.7
197,clothes,0.9
197,car,0.8
198,cat,0.7
198,dog,0.8
198,plane,0.7
198,clothes,0.9
198,car,0.8
199,cat,0.7
199,dog,0.8
199,plane,0.7
199,clothes,0.9
199,car,0.8
200,cat,0.7
200,dog,0.8
200,plane,0.7
200,clothes,0.9
200,car,0.8
201,cat,0.7
201,dog,0.8
201,plane,0.7
201,clothes,0.9
201,car,0.8
202,cat,0.7
202,dog,0.8
202,plane,0.7
202,clothes,0.9
202,car,0.8
203,cat,0.7
203,dog,0.8
203,plane,0.7
203,clothes,0.9
203,car,0.8
204,cat,0.7
204,dog,0.8
204,plane,0.7
204,clothes,0.9
204,car,0.8
205,cat,0.7
205,dog,0.8
205,plane,0.7
205,clothes,0.9
205,car,0.8
206,cat,0.7
206,dog,0.8
206,plane,0.7
206,clothes,0.9
206,car,0.8
207,cat,0.7
207,dog,0.8
207,plane,0.7
207,clothes,0.9
207,car,0.8
208,cat,0.7
208,dog,0.8
208,plane,0.7
208,clothes,0.9
208,car,0.8
209,cat,0.7
209,dog,0.8
209,plane,0.7
209,clothes,0.9
209,car,0.8
210,cat,0.7
210,dog,0.8
210,plane,0.7
210,clothes,0.9
210,car,0.8
211,cat,0.7
211,dog,0.8
211,plane,0.7
211,clothes,0.9
211,car,0.8
212,cat,0.7
212,dog,0.8
212,plane,0.7
212,clothes,0.9
212,car,0.8
213,cat,0.7
213,dog,0.8
213,plane,0.7
213,clothes,0.9
213,car,0.8
214,cat,0.7
214,dog,0.8
214,plane,0.7
214,clothes,0.9
214,car,0.8
215,cat,0.7
215,dog,0.8
215,plane,0.7
215,clothes,0.9
215,car,0.8
216,cat,0.7
216,dog,0.8
216,plane,0.7
216,clothes,0.9
216,car,0.8
217,cat,0.7
217,dog,0.8
217,plane,0.7
217,clothes,0.9
217,car,0.8
218,cat,0.7
218,dog,0.8
218,plane,0.7
218,clothes,0.9
218,car,0.8
219,cat,0.7
219,dog,0.8
219,plane,0.7
219,clothes,0.9
219,car,0.8
220,cat,0.7
220,dog,0.8
220,plane,0.7
220,clothes,0.9
220,car,0.8
221,cat,0.7
221,dog,0.8
221,plane,0.7
221,clothes,0.9
221,car,0.8
222,cat,0.7
222,dog,0.8
222,plane,0.7
222,clothes,0.9
222,car,0.8
223,cat,0.7
223,dog,0.8
223,plane,0.7
223,clothes,0.9
223,car,0.8
224,cat,0.7
224,dog,0.8
224,plane,0.7
224,clothes,0.9
224,car,0.8
225,cat,0.7
225,dog,0.8
225,plane,0.7
225,clothes,0.9
225,car,0.8
226,cat,0.7
226,dog,0.8
226,plane,0.7
226,clothes,0.9
226,car,0.8
227,cat,0.7
227,dog,0.8
227,plane,0.7
227,clothes,0.9
227,car,0.8
228,cat,0.7
228,dog,0.8
228,plane,0.7
228,clothes,0.9
228,car,0.8
229,cat,0.7
229,dog,0.8
229,plane,0.7
229,clothes,0.9
229,car,0.8
230,cat,0.7
230,dog,0.8
230,plane,0.7
230,clothes,0.9
230,car,0.8
231,cat,0.7
231,dog,0.8
231,plane,0.7
231,clothes,0.9
231,car,0.8
232,cat,0.7
232,dog,0.8
232,plane,0.7
232,clothes,0.9
232,car,0.8
233,cat,0.7
233,dog,0.8
233,plane,0.7
233,clothes,0.9
233,car,0.8
234,cat,0.7
234,dog,0.8
234,plane,0.7
234,clothes,0.9
234,car,0.8
235,cat,0.7
235,dog,0.8
235,plane,0.7
235,clothes,0.9
235,car,0.8
236,cat,0.7
236,dog,0.8
236,plane,0.7
236,clothes,0.9
236,car,0.8
237,cat,0.7
237,dog,0.8
237,plane,0.7
237,clothes,0.9
237,car,0.8
238,cat,0.7
238,dog,0.8
238,plane,0.7
238,clothes,0.9
238,car,0.8
239,cat,0.7
239,dog,0.8
239,plane,0.7
239,clothes,0.9
239,car,0.8
240,cat,0.7
240,dog,0.8
240,plane,0.7
240,clothes,0.9
240,car,0.8
241,cat,0.7
241,dog,0.8
241,plane,0.7
241,clothes,0.9
241,car,0.8
242,cat,0.7
242,dog,0.8
242,plane,0.7
242,clothes,0.9
242,car,0.8
243,cat,0.7
243,dog,0.8
243,plane,0.7
243,clothes,0.9
243,car,0.8
244,cat,0.7
244,dog,0.8
244,plane,0.7
244,clothes,0.9
244,car,0.8
