round,query_label,image_id,category,rank,score
90,plane,6,0,12,1.527680
90,plane,16,1,13,0.433194
90,clothes,35,3,1,6.465284
90,clothes,36,3,2,5.690424
90,clothes,39,3,3,5.380978
90,clothes,31,3,4,4.780213
90,clothes,34,3,5,4.472432
90,clothes,37,3,6,4.136166
90,clothes,38,3,7,4.085861
90,clothes,32,3,8,3.962497
90,clothes,4,0,9,3.371884
90,clothes,33,3,10,3.335148
90,clothes,30,3,11,2.724504
90,clothes,9,0,12,2.475322
90,clothes,6,0,13,1.547591
90,car,49,4,1,6.304586
90,car,41,4,2,5.317251
90,car,42,4,3,5.103517
90,car,47,4,4,4.896736
90,car,40,4,5,4.245635
90,car,48,4,6,4.240952
90,car,21,2,7,3.888157
90,car,45,4,8,3.579572
90,car,44,4,9,3.493754
90,car,43,4,10,2.845324
90,car,46,4,11,2.714312
90,car,26,2,12,2.639977
90,car,25,2,13,1.442916
100,cat,3,0,1,7.150427
100,cat,7,0,2,6.101386
100,cat,4,0,3,5.702989
100,cat,5,0,4,5.143581
100,cat,1,0,5,4.401099
100,cat,8,0,6,3.844273
100,cat,0,0,7,3.833794
100,cat,9,0,8,3.786335
100,cat,6,0,9,3.582709
100,cat,19,1,10,3.179541
100,cat,2,0,11,2.577737
100,cat,11,1,12,1.171878
100,cat,13,1,13,0.969626
100,dog,12,1,1,6.317270
100,dog,19,1,2,5.227592
100,dog,14,1,3,5.223632
100,dog,10,1,4,4.770700
100,dog,17,1,5,4.292278
100,dog,15,1,6,4.149179
100,dog,7,0,7,4.045011
100,dog,4,0,8,3.650829
100,dog,11,1,9,3.222086
100,dog,13,1,10,3.021260
100,dog,16,1,11,2.599628
100,dog,18,1,12,2.586076
100,dog,6,0,13,1.523429
100,plane,22,2,1,7.071549
100,plane,21,2,2,5.757133
100,plane,27,2,3,5.421800
100,plane,26,2,4,4.822508
100,plane,24,2,5,4.636471
100,plane,20,2,6,3.925039
100,plane,28,2,7,3.737758
100,plane,23,2,8,3.644222
100,plane,29,2,9,3.276735
100,plane,25,2,10,3.261726
100,plane,8,0,11,1.774195
100,plane,6,0,12,1.492184
100,plane,16,1,13,0.529892
100,clothes,35,3,1,6.293395
100,clothes,36,3,2,5.647761
100,clothes,31,3,3,5.373821
100,clothes,39,3,4,5.192465
100,clothes,34,3,5,4.541851
100,clothes,37,3,6,4.223005
100,clothes,4,0,7,3.636091
100,clothes,38,3,8,3.590924
100,clothes,33,3,9,3.410936
100,clothes,32,3,10,3.233238
100,clothes,30,3,11,2.724494
100,clothes,9,0,12,1.722235
100,clothes,6,0,13,1.512095
100,car,49,4,1,6.433504
100,car,41,4,2,5.460171
100,car,42,4,3,5.356824
100,car,40,4,4,4.737588
100,car,47,4,5,4.498920
100,car,48,4,6,4.081815
100,car,21,2,7,3.693324
100,car,44,4,8,3.680951
100,car,45,4,9,3.555515
100,car,43,4,10,3.374438
100,car,26,2,11,2.759094
100,car,46,4,12,2.585153
100,car,25,2,13,1.190371
110,cat,3,0,1,6.949943
110,cat,7,0,2,5.781847
110,cat,4,0,3,5.578923
110,cat,9,0,4,4.581479
110,cat,5,0,5,4.504267
110,cat,1,0,6,4.015795
110,cat,8,0,7,3.824973
110,cat,0,0,8,3.773887
110,cat,19,1,9,3.695254
110,cat,6,0,10,3.050038
110,cat,2,0,11,2.577687
110,cat,11,1,12,2.124464
110,cat,13,1,13,1.367792
110,dog,12,1,1,6.741466
110,dog,19,1,2,5.743306
110,dog,14,1,3,5.388125
110,dog,10,1,4,4.846963
110,dog,17,1,5,4.404968
110,dog,11,1,6,4.174672
110,dog,15,1,7,4.153669
110,dog,7,0,8,3.725472
110,dog,4,0,9,3.526762
110,dog,13,1,10,3.419426
110,dog,18,1,11,2.586085
110,dog,16,1,12,2.513282
110,dog,6,0,13,0.990758
110,plane,22,2,1,6.868119
110,plane,21,2,2,5.739978
110,plane,26,2,3,5.163099
110,plane,27,2,4,4.976612
110,plane,24,2,5,4.466676
110,plane,23,2,6,3.705834
110,plane,29,2,7,3.456439
110,plane,20,2,8,3.366034
110,plane,28,2,9,3.332749
110,plane,25,2,10,3.308846
110,plane,8,0,11,1.754894
110,plane,6,0,12,0.959513
110,plane,16,1,13,0.443546
110,clothes,35,3,1,6.288392
110,clothes,36,3,2,5.609431
110,clothes,31,3,3,4.898751
110,clothes,37,3,4,4.783153
110,clothes,34,3,5,4.628612
110,clothes,38,3,6,4.067857
110,clothes,39,3,7,3.692741
110,clothes,33,3,8,3.610590
110,clothes,4,0,9,3.512024
110,clothes,32,3,10,3.242303
110,clothes,30,3,11,2.724493
110,clothes,9,0,12,2.517379
110,clothes,6,0,13,0.979425
110,car,49,4,1,6.378353
110,car,42,4,2,5.435659
110,car,41,4,3,5.328997
110,car,40,4,4,4.866582
110,car,48,4,5,4.705208
110,car,44,4,6,4.005779
110,car,47,4,7,3.990224
110,car,21,2,8,3.676169
110,car,45,4,9,3.626924
110,car,43,4,10,3.584924
110,car,26,2,11,3.099686
110,car,46,4,12,2.571222
110,car,25,2,13,1.237492
120,cat,3,0,1,6.796931
120,cat,4,0,2,5.719245
120,cat,7,0,3,5.672856
120,cat,9,0,4,4.564724
120,cat,1,0,5,4.001733
120,cat,5,0,6,3.999053
120,cat,6,0,7,3.806823
120,cat,0,0,8,3.693908
120,cat,19,1,9,3.670902
120,cat,8,0,10,3.523492
120,cat,2,0,11,2.577681
120,cat,11,1,12,1.802211
120,cat,13,1,13,1.221473
120,dog,12,1,1,6.519937
120,dog,19,1,2,5.718954
120,dog,14,1,3,5.138252
120,dog,10,1,4,5.073071
120,dog,15,1,5,4.420952
120,dog,17,1,6,4.037778
120,dog,11,1,7,3.852419
120,dog,4,0,8,3.667084
120,dog,7,0,9,3.616481
120,dog,13,1,10,3.273107
120,dog,18,1,11,2.628157
120,dog,16,1,12,2.503978
120,dog,6,0,13,1.747543
120,plane,22,2,1,7.107684
120,plane,21,2,2,6.131612
120,plane,27,2,3,5.219254
120,plane,26,2,4,4.651519
120,plane,24,2,5,4.641796
120,plane,28,2,6,3.907380
120,plane,29,2,7,3.866011
120,plane,20,2,8,3.672089
120,plane,23,2,9,3.449644
120,plane,25,2,10,3.241359
120,plane,6,0,11,1.716298
120,plane,8,0,12,1.453414
120,plane,16,1,13,0.434242
120,clothes,35,3,1,6.419738
120,clothes,36,3,2,5.731052
120,clothes,34,3,3,4.914755
120,clothes,39,3,4,4.844532
120,clothes,31,3,5,4.836299
120,clothes,37,3,6,4.235116
120,clothes,38,3,7,4.173416
120,clothes,33,3,8,3.815431
120,clothes,32,3,9,3.762954
120,clothes,4,0,10,3.652346
120,clothes,30,3,11,2.724167
120,clothes,9,0,12,2.500624
120,clothes,6,0,13,1.736209
120,car,49,4,1,6.583785
120,car,41,4,2,5.561563
120,car,42,4,3,5.517187
120,car,40,4,4,4.992727
120,car,47,4,5,4.194989
120,car,48,4,6,4.134333
120,car,21,2,7,4.067803
120,car,44,4,8,3.877905
120,car,43,4,9,3.810106
120,car,45,4,10,3.641377
120,car,26,2,11,2.588105
120,car,46,4,12,2.569725
120,car,25,2,13,1.170005
130,cat,3,0,1,6.946514
130,cat,7,0,2,5.661344
130,cat,4,0,3,5.400761
130,cat,9,0,4,4.880907
130,cat,5,0,5,4.580665
130,cat,1,0,6,4.564069
130,cat,8,0,7,3.896349
130,cat,6,0,8,3.876954
130,cat,0,0,9,3.689930
130,cat,19,1,10,3.642204
130,cat,2,0,11,2.577681
130,cat,11,1,12,1.882948
130,cat,13,1,13,0.998604
130,dog,12,1,1,6.730807
130,dog,19,1,2,5.690256
130,dog,14,1,3,5.273349
130,dog,10,1,4,4.746135
130,dog,15,1,5,4.602940
130,dog,17,1,6,4.110068
130,dog,11,1,7,3.933156
130,dog,7,0,8,3.604969
130,dog,4,0,9,3.348600
130,dog,13,1,10,3.050238
130,dog,18,1,11,2.590604
