round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
50,23,2,0.075313,0.808482,0.176546,0.057093,0.255499,0.142329,0.056907,0.228572
50,24,2,0.346724,0.538510,0.228210,0.172519,0.709064,0.273816,0.109883,0.316385
50,25,2,0.118530,0.449373,0.220943,0.076336,0.431274,0.195600,0.109838,0.233205
50,26,2,0.401554,0.470468,0.253670,0.176435,0.771286,0.291322,0.115062,0.324118
50,27,2,0.428317,0.704882,0.305660,0.304336,0.721843,0.377050,0.117778,0.391832
50,28,2,0.226272,0.371389,0.153348,0.065610,0.329609,0.123395,0.077330,0.175566
50,29,2,0.109343,0.827696,0.171368,0.081797,0.284404,0.156337,0.024078,0.232736
50,30,3,0.108891,0.783261,0.104438,0.049781,0.019195,0.007862,0.032863,0.150622
50,31,3,0.559639,0.471442,0.325474,0.335570,0.866998,0.405903,0.047589,0.374034
50,32,3,0.161426,0.399845,0.135249,0.070765,0.269876,0.108332,0.037489,0.156517
50,33,3,0.041007,0.941094,0.144850,0.070409,0.279139,0.114952,0.059082,0.245528
50,34,3,0.306667,0.503178,0.243717,0.150366,0.638060,0.266274,0.068562,0.287727
50,35,3,0.482934,0.996338,0.440109,0.452514,0.837802,0.507878,0.063713,0.500970
50,36,3,0.444939,0.974967,0.269066,0.268647,0.766251,0.353828,0.048569,0.406873
50,37,3,0.300442,0.882176,0.232953,0.172251,0.479735,0.280546,0.047735,0.318149
50,38,3,0.255183,0.676028,0.271604,0.156355,0.611877,0.289694,0.053900,0.314085
50,39,3,0.542584,0.396972,0.229635,0.195649,0.756931,0.282080,0.069106,0.297592
50,40,4,0.357393,0.618226,0.232506,0.142920,0.719760,0.252603,0.081755,0.315644
50,41,4,0.440077,0.439998,0.270797,0.210754,0.811047,0.321192,0.081042,0.329433
50,42,4,0.374670,0.998764,0.184650,0.108255,0.685513,0.200377,0.063496,0.341800
50,43,4,0.072453,0.903416,0.100025,0.050001,0.000139,0.000059,0.093616,0.178839
50,44,4,0.146514,0.689342,0.135050,0.084129,0.239569,0.119886,0.067609,0.205884
50,45,4,0.031405,0.951144,0.154658,0.079616,0.252648,0.134335,0.052185,0.247012
50,46,4,0.216687,0.417879,0.148444,0.055271,0.240495,0.093445,0.060606,0.157771
50,47,4,0.446234,0.411187,0.265155,0.227467,0.825758,0.337612,0.064283,0.327455
50,48,4,0.301519,0.202837,0.134615,0.097526,0.286215,0.138071,0.082171,0.149633
